,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,BLAW308,cluster_label,graduated
0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,-0.30000000000000004,-0.7,-0.7,0.0,0,0
1,-2.0,-2.0,-2.0,-0.30000000000000004,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
2,1.0,1.0,1.0,2.0,2.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
3,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
4,-2.0,2.0,-2.0,2.0,2.0,0.0,2.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.2999999999999998,-2.0,1,0
5,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
6,-2.0,-2.0,-2.0,0.2999999999999998,-2.0,-2.0,0.7000000000000002,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
7,1.2999999999999998,0.2999999999999998,1.2999999999999998,2.0,2.0,1.0,-2.0,0.0,1.7000000000000002,-2.0,-2.0,-2.0,1.2999999999999998,1.0,1.2999999999999998,1.0,-2.0,1.7000000000000002,0,1
8,1.7000000000000002,-2.0,2.0,1.0,2.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.7000000000000002,-0.30000000000000004,1.2999999999999998,-0.30000000000000004,0.7000000000000002,1.2999999999999998,0,1
9,1.2999999999999998,0.7000000000000002,1.2999999999999998,0.7000000000000002,0.0,1.2999999999999998,-2.0,1.2999999999999998,-2.0,-2.0,-2.0,1.0,-2.0,1.7000000000000002,1.0,1.7000000000000002,1.0,1.0,0,1
10,0.0,1.0,1.2999999999999998,1.2999999999999998,0.2999999999999998,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.7000000000000002,1.0,1.0,-0.30000000000000004,2.0,0.7000000000000002,0,1
11,0.0,-2.0,1.0,-2.0,0.0,0.0,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,1.0,1.0,-2.0,0.2999999999999998,0.0,0.0,1.0,0,1
12,1.0,2.0,-2.0,2.0,1.2999999999999998,1.2999999999999998,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,0.0,0.7000000000000002,-0.30000000000000004,1.0,1.0,-1.0,0,1
13,1.2999999999999998,-2.0,1.2999999999999998,2.0,0.0,0.0,2.0,0.2999999999999998,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
14,1.0,1.0,1.0,2.0,0.0,1.0,-1.0,0.0,-2.0,-2.0,-2.0,0.0,1.7000000000000002,-0.30000000000000004,-0.30000000000000004,0.2999999999999998,0.0,-2.0,0,0
15,1.0,0.0,0.2999999999999998,2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.2999999999999998,1.0,0.7000000000000002,0.2999999999999998,1.0,0.7000000000000002,0,0
16,0.0,-2.0,2.0,1.2999999999999998,1.2999999999999998,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-0.7,2.0,2.0,0,0
17,-2.0,-2.0,-2.0,1.2999999999999998,0.7000000000000002,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
18,-1.0,-1.0,-0.30000000000000004,2.0,-2.0,0.0,2.0,1.0,-1.3,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
19,1.7000000000000002,1.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.2999999999999998,2.0,2.0,1.7000000000000002,-2.0,1.7000000000000002,0,1
20,-2.0,1.0,2.0,2.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,1.0,0.7000000000000002,1.2999999999999998,1.7000000000000002,-2.0,1.2999999999999998,0,1
