,ACCT220,ECON309,ECON310,ECON311,ECON401,ENGL205,ENGL305,ENGL306,ECON160,ECON161,MATH103,MATH150A,MATH255A,MATH140,SOM120,cluster_label,graduated
0,2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,-2.0,1.0,1.0,0.0,-2.0,0,0
1,-0.7,-2.0,-1.0,-1.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-0.7,0,0
2,-1.3,0.0,0.0,0.2999999999999998,0.0,-2.0,-2.0,-2.0,1.0,0.2999999999999998,0.0,-2.0,-2.0,-2.0,0.7000000000000002,1,0
3,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,1.0,-2.0,-2.0,1.2999999999999998,-2.0,0,0
5,0.0,1.0,-2.0,2.0,0.0,-2.0,-2.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,1,1
6,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,0.0,-2.0,0,0
7,2.0,0.0,0.0,0.7000000000000002,-0.30000000000000004,1.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,-2.0,1,1
8,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
9,-2.0,2.0,1.0,1.7000000000000002,1.0,2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,1,1
10,2.0,-2.0,-2.0,-2.0,-2.0,1.2999999999999998,-2.0,-2.0,2.0,0.0,2.0,-2.0,-2.0,-2.0,-2.0,0,0
11,-0.30000000000000004,0.0,0.2999999999999998,0.2999999999999998,0.0,1.0,-2.0,-2.0,0.0,0.0,0.2999999999999998,-2.0,-2.0,0.2999999999999998,-2.0,1,1
12,-2.0,1.0,1.0,1.7000000000000002,-2.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,1.0,1.0,-2.0,1.2999999999999998,1,0
13,1.0,0.0,0.2999999999999998,-1.0,0.2999999999999998,-2.0,-2.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,1,1
14,2.0,1.0,-0.30000000000000004,0.0,-2.0,2.0,-2.0,-2.0,2.0,2.0,2.0,-2.0,-2.0,1.0,-2.0,1,0
15,0.0,0.2999999999999998,1.0,0.0,0.7000000000000002,-2.0,-2.0,-2.0,0.2999999999999998,0.0,-2.0,-2.0,-2.0,-2.0,1.0,1,1
16,1.0,-2.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,0,0
17,1.0,2.0,-2.0,1.2999999999999998,0.7000000000000002,-2.0,-2.0,-2.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,1.2999999999999998,1,1
18,2.0,1.0,2.0,1.2999999999999998,1.0,-2.0,-2.0,-2.0,2.0,2.0,-2.0,2.0,2.0,2.0,-2.0,1,1
19,1.0,1.0,0.7000000000000002,1.0,2.0,-2.0,-2.0,-2.0,1.0,1.0,-2.0,1.0,1.0,2.0,-2.0,1,1
20,-2.0,-2.0,-2.0,-2.0,-2.0,-0.30000000000000004,-2.0,-2.0,1.0,1.0,0.0,-2.0,-2.0,1.0,-2.0,0,0
21,0.0,2.0,1.0,-2.0,-2.0,2.0,-2.0,-2.0,1.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,1,0
22,0.2999999999999998,0.0,0.0,1.0,-2.0,1.2999999999999998,-2.0,-2.0,1.0,-2.0,0.7000000000000002,-2.0,-2.0,2.0,-2.0,1,0
23,0.7000000000000002,1.0,1.0,-0.7,0.2999999999999998,-2.0,-2.0,-2.0,0.0,0.0,2.0,-2.0,-2.0,0.0,-2.0,1,1
24,1.0,-1.0,0.0,-0.30000000000000004,-2.0,-2.0,-2.0,-2.0,1.0,0.0,-2.0,0.0,0.0,0.0,-2.0,0,0
25,1.0,1.0,1.0,0.0,1.0,1.0,-2.0,-2.0,2.0,0.7000000000000002,2.0,-2.0,-2.0,0.7000000000000002,-2.0,1,1
26,1.0,1.0,0.0,-0.7,-0.30000000000000004,0.7000000000000002,-2.0,-2.0,0.0,1.0,1.0,-2.0,-2.0,2.0,-2.0,1,0
27,2.0,1.0,-2.0,0.2999999999999998,-0.30000000000000004,-2.0,-2.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,-2.0,1,1
28,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
29,2.0,1.0,0.0,1.7000000000000002,1.0,-2.0,-2.0,-2.0,0.7000000000000002,0.0,2.0,-2.0,-2.0,-2.0,1.0,1,1
30,2.0,-1.0,-1.3,2.0,-2.0,1.2999999999999998,-2.0,-2.0,0.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
31,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
32,-1.3,0.0,-2.0,-2.0,1.0,0.0,-2.0,-2.0,1.2999999999999998,-2.0,0.2999999999999998,-2.0,-2.0,-2.0,0.2999999999999998,0,1
33,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,0.2999999999999998,-2.0,0,0
34,2.0,1.0,1.7000000000000002,2.0,2.0,-2.0,-2.0,2.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
35,-2.0,0.0,2.0,2.0,1.0,-2.0,-2.0,-2.0,2.0,2.0,-2.0,1.0,-2.0,2.0,-2.0,1,0
36,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,0.0,-2.0,0,0
37,1.0,-1.0,0.2999999999999998,0.0,-1.0,-2.0,-2.0,-2.0,2.0,2.0,-2.0,0.0,0.0,1.0,-2.0,1,0
38,0.0,0.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,1.0,1.0,-2.0,0.0,0.0,1.0,-2.0,1,1
39,-2.0,2.0,2.0,1.2999999999999998,2.0,-2.0,-2.0,-2.0,-0.30000000000000004,-1.0,-2.0,1.0,-2.0,-2.0,0.0,1,1
40,-2.0,-2.0,0.0,-2.0,-2.0,1.0,-2.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,0.0,-2.0,0,0
41,1.0,0.0,0.0,0.0,-0.30000000000000004,-2.0,-2.0,-2.0,1.0,2.0,-2.0,0.0,-2.0,2.0,-2.0,1,1
42,2.0,2.0,1.7000000000000002,2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,-2.0,2.0,-2.0,-2.0,2.0,1,0
43,2.0,2.0,1.0,-2.0,1.2999999999999998,-2.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,-2.0,1,1
44,0.0,-1.0,-2.0,-1.0,-2.0,1.0,-2.0,-2.0,0.0,1.0,-1.3,-2.0,-2.0,-2.0,-2.0,0,0
45,1.0,0.0,1.0,0.2999999999999998,0.0,2.0,-2.0,-2.0,1.0,0.0,-2.0,0.0,0.0,1.0,-2.0,1,0
46,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
47,2.0,0.2999999999999998,1.0,1.0,1.0,-2.0,-2.0,-2.0,1.0,2.0,2.0,-2.0,-2.0,1.0,-2.0,1,1
48,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
49,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
50,0.0,1.0,1.0,1.0,2.0,-2.0,-2.0,-2.0,2.0,2.0,-2.0,0.2999999999999998,-2.0,1.0,-2.0,1,0
51,1.0,0.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,0.0,2.0,-2.0,-2.0,-2.0,0.0,-2.0,0,1
52,1.7000000000000002,2.0,0.0,-0.7,-2.0,0.7000000000000002,-2.0,-2.0,1.0,0.7000000000000002,0.0,-2.0,-2.0,-2.0,-2.0,1,0
53,-2.0,-2.0,0.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,0.0,0,1
54,-2.0,2.0,1.7000000000000002,2.0,1.0,-2.0,-2.0,-2.0,2.0,1.2999999999999998,0.0,-2.0,-2.0,0.0,-2.0,1,1
55,-1.0,0.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.2999999999999998,-2.0,-2.0,0.0,-2.0,0,0
56,1.0,-2.0,-2.0,-2.0,-2.0,1.7000000000000002,-2.0,-2.0,1.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,0,0
57,1.0,1.0,0.7000000000000002,2.0,2.0,1.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,1.0,-2.0,1,1
58,0.0,1.2999999999999998,2.0,1.7000000000000002,2.0,-2.0,-2.0,-2.0,1.7000000000000002,1.7000000000000002,-2.0,-2.0,-2.0,-2.0,1.7000000000000002,1,1
59,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,-2.0,1.0,1.0,2.0,-2.0,0,0
60,0.0,0.0,0.0,-1.3,-2.0,1.0,-2.0,-2.0,2.0,1.0,0.0,-2.0,-2.0,0.0,-2.0,1,0
61,2.0,2.0,2.0,2.0,1.2999999999999998,-2.0,-2.0,-2.0,2.0,2.0,-2.0,0.0,-2.0,-2.0,2.0,1,1
62,1.0,0.0,1.2999999999999998,2.0,-1.0,-2.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,1,1
63,0.0,1.0,0.0,0.7000000000000002,0.0,-2.0,-2.0,-0.30000000000000004,2.0,1.0,1.0,-2.0,-2.0,2.0,-2.0,1,0
64,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,0,0
65,2.0,1.7000000000000002,1.0,1.7000000000000002,0.0,2.0,-2.0,-2.0,2.0,0.0,1.0,-2.0,-2.0,-2.0,1.2999999999999998,1,0
66,1.0,0.0,1.0,0.2999999999999998,0.0,1.7000000000000002,-2.0,-2.0,1.0,1.0,1.7000000000000002,-2.0,-2.0,1.0,-2.0,1,1
67,2.0,1.0,1.0,0.7000000000000002,0.7000000000000002,0.0,-2.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,2.0,-2.0,1,1
68,2.0,1.0,2.0,1.0,2.0,-2.0,-2.0,-2.0,2.0,2.0,-2.0,1.0,1.0,2.0,-2.0,1,1
69,1.0,1.0,0.2999999999999998,1.2999999999999998,1.0,-2.0,-2.0,-2.0,2.0,1.0,-2.0,1.0,-2.0,-2.0,1.0,1,1
70,0.0,-1.0,-1.3,-2.0,-2.0,2.0,-2.0,-2.0,1.0,1.0,0.0,-2.0,-2.0,0.0,-2.0,0,0
71,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
72,1.0,0.7000000000000002,1.0,1.0,0.7000000000000002,-2.0,-2.0,-2.0,0.0,2.0,0.0,-2.0,-2.0,1.0,-2.0,1,1
73,1.0,0.0,1.0,1.0,-0.30000000000000004,0.0,-2.0,1.7000000000000002,1.0,0.0,0.2999999999999998,-2.0,-2.0,2.0,-2.0,1,1
74,2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,-2.0,0,0
75,1.0,1.0,2.0,-2.0,2.0,-2.0,-2.0,-2.0,1.0,1.2999999999999998,-2.0,-2.0,-2.0,-2.0,0.0,1,1
76,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
77,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,1.0,-2.0,-2.0,-2.0,0.0,-2.0,0,0
78,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
79,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,-0.7,-2.0,-2.0,0.2999999999999998,1.0,-2.0,-2.0,-2.0,-2.0,-0.30000000000000004,0,0
80,2.0,1.7000000000000002,1.0,1.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,1,0
81,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,1.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,0,0
82,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
83,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,-1.3,-2.0,0,0
