,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,SOM120,MATH103,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,MKT346,MKT348,cluster_label,graduated
0,-0.7,-1.0,1.2999999999999998,1.2999999999999998,0.0,1.0,1.7000000000000002,0.0,0.0,-2.0,-2.0,-2.0,1.0,0.2999999999999998,0.7000000000000002,1.0,1.0,1.0,1.0,0,1
1,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,-2.0,1.0,-2.0,-2.0,0.2999999999999998,2.0,0.0,0.7000000000000002,1.7000000000000002,-0.30000000000000004,1.2999999999999998,0,1
2,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
3,0.0,1.0,2.0,0.0,0.0,0.0,1.0,-2.0,0.0,-2.0,-2.0,0.0,1.2999999999999998,-1.0,1.0,0.0,-2.0,-1.0,1.2999999999999998,0,1
4,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,-2.0,-2.0,-2.0,-2.0,1.7000000000000002,-1.3,1.7000000000000002,1.0,0.7000000000000002,1.2999999999999998,1.2999999999999998,0,1
5,1.0,-2.0,1.0,2.0,0.0,-0.30000000000000004,1.7000000000000002,-2.0,0.2999999999999998,0.0,-2.0,-0.30000000000000004,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
6,0.7000000000000002,-0.30000000000000004,1.7000000000000002,1.0,0.0,-1.0,1.0,-2.0,1.0,-2.0,-2.0,0.0,1.0,-2.0,-2.0,0.7000000000000002,-1.0,-2.0,-2.0,0,0
7,0.0,0.0,1.0,0.0,0.0,0.0,1.2999999999999998,0.7000000000000002,-2.0,-2.0,-2.0,-2.0,0.2999999999999998,0.7000000000000002,-0.30000000000000004,1.7000000000000002,1.2999999999999998,0.2999999999999998,0.7000000000000002,0,1
8,0.0,-2.0,0.0,-2.0,1.0,1.0,2.0,-2.0,2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
9,-2.0,-2.0,0.0,2.0,-0.30000000000000004,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
10,1.0,2.0,2.0,-2.0,0.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,0.7000000000000002,0.2999999999999998,0.7000000000000002,0.0,-0.30000000000000004,0.0,1.0,0,1
11,2.0,0.2999999999999998,2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,1.0,2.0,-0.30000000000000004,1.0,1.0,1.0,0.0,1.0,0,1
