,ACCT220,ACCT230,ECON160,ECON161,COMP100,SOM120,ENGL205,BLAW280,MATH103,MATH150A,MATH150B,BUS302,FIN303,MGT360,MKT304,SOM306,BUS497,BLAW308,FIN352,FIN355,cluster_label,graduated
0,1.0,1.0,1.0,1.0,2.0,-2.0,2.0,1.0,0.2999999999999998,-2.0,-2.0,1.0,1.0,0.7000000000000002,-1.3,-1.0,-2.0,-0.30000000000000004,-2.0,-2.0,0,0
1,1.0,0.0,0.0,0.0,2.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,0.7000000000000002,-2.0,0.0,0.0,0.7000000000000002,-2.0,1.0,-2.0,-2.0,1,1
2,0.0,1.0,0.0,0.2999999999999998,1.0,0.7000000000000002,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,1.0,2.0,1.0,1.0,-2.0,-2.0,1.0,-2.0,-2.0,0,1
3,0.7000000000000002,0.2999999999999998,1.0,1.0,2.0,-2.0,-2.0,0.2999999999999998,-2.0,-2.0,-2.0,1.7000000000000002,0.7000000000000002,1.2999999999999998,2.0,-0.30000000000000004,-2.0,0.7000000000000002,-2.0,-2.0,0,1
4,1.0,1.0,0.0,0.0,2.0,-2.0,2.0,1.0,-2.0,0.0,-2.0,1.0,0.0,0.2999999999999998,-1.0,0.0,-2.0,0.0,-2.0,-2.0,0,0
5,1.0,2.0,0.0,1.0,2.0,-2.0,2.0,0.0,-2.0,-2.0,-2.0,0.7000000000000002,1.0,1.7000000000000002,0.7000000000000002,0.7000000000000002,-2.0,1.0,0.7000000000000002,-1.0,0,1
6,2.0,2.0,1.0,1.2999999999999998,2.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,1.2999999999999998,2.0,1.7000000000000002,1.2999999999999998,2.0,-2.0,1.7000000000000002,1.7000000000000002,2.0,0,1
7,1.0,1.0,1.0,0.0,2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,0.0,1.7000000000000002,0.0,0.0,-0.7,-2.0,0.0,-2.0,-2.0,0,1
8,1.0,2.0,2.0,1.0,1.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,0.7000000000000002,2.0,0.0,0.0,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,0,1
9,0.0,-1.0,1.0,-0.30000000000000004,0.2999999999999998,-2.0,-2.0,-1.3,-2.0,-2.0,-2.0,0.0,1.7000000000000002,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
10,0.0,-0.30000000000000004,-2.0,0.0,0.0,-2.0,-2.0,1.0,-2.0,0.0,1.0,0.0,-2.0,0.7000000000000002,0.0,0.0,-2.0,-0.30000000000000004,-2.0,-2.0,1,1
11,0.0,1.0,1.0,2.0,2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
12,0.0,-2.0,0.0,0.0,0.7000000000000002,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
13,1.0,2.0,1.0,2.0,1.0,-2.0,1.0,-2.0,0.0,-2.0,-2.0,1.2999999999999998,-2.0,1.0,0.0,-0.7,-2.0,-1.3,1.7000000000000002,0.0,0,1
14,2.0,1.0,1.0,2.0,1.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.2999999999999998,1.2999999999999998,0.7000000000000002,0.2999999999999998,0.7000000000000002,-2.0,0.0,-2.0,1.7000000000000002,0,1
15,-2.0,0.0,2.0,1.0,2.0,-2.0,2.0,2.0,-2.0,1.0,-2.0,1.2999999999999998,2.0,1.0,1.7000000000000002,0.7000000000000002,-2.0,0.7000000000000002,-2.0,-2.0,0,0
16,-2.0,0.0,1.0,1.0,1.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,1.2999999999999998,-2.0,1.0,1.0,0.7000000000000002,-2.0,1.0,-2.0,-2.0,0,0
17,1.0,0.0,0.0,0.0,1.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,2.0,1.0,1.0,1.0,1.7000000000000002,-2.0,1.2999999999999998,-2.0,-2.0,0,1
18,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,1.2999999999999998,0.7000000000000002,-1.3,0.2999999999999998,0.7000000000000002,-2.0,-2.0,-2.0,-2.0,1,1
19,0.7000000000000002,1.0,0.0,0.0,0.0,-2.0,2.0,1.0,-2.0,1.0,-2.0,0.0,0.2999999999999998,2.0,0.0,0.7000000000000002,-2.0,0.0,-2.0,-2.0,0,1
20,0.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,1.0,0.0,-2.0,-2.0,-2.0,-0.7,0.2999999999999998,0.7000000000000002,0.0,-2.0,0.7000000000000002,-2.0,-2.0,1,1
21,1.0,0.0,0.0,1.0,1.0,-2.0,2.0,2.0,1.0,-2.0,-2.0,1.0,0.7000000000000002,0.7000000000000002,-2.0,0.2999999999999998,-2.0,0.2999999999999998,0.7000000000000002,1.0,0,1
22,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
23,2.0,2.0,1.0,2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.2999999999999998,1.0,2.0,1.0,1.0,-2.0,0.7000000000000002,-2.0,-2.0,0,1
24,0.0,1.0,1.0,1.0,2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,1.0,1.0,0.2999999999999998,1.0,0.7000000000000002,-2.0,-0.30000000000000004,-2.0,-2.0,0,1
25,2.0,1.0,1.0,1.0,2.0,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
26,0.7000000000000002,-2.0,-2.0,1.0,1.0,-2.0,1.2999999999999998,0.2999999999999998,0.0,-2.0,-2.0,0.7000000000000002,1.0,0.7000000000000002,0.0,2.0,-2.0,1.0,0.7000000000000002,1.2999999999999998,0,1
27,0.0,1.0,0.0,1.0,0.0,-2.0,-2.0,1.0,-2.0,0.0,-2.0,1.0,1.7000000000000002,0.0,0.7000000000000002,1.0,-2.0,1.0,-2.0,-2.0,0,1
28,1.0,1.0,1.0,1.0,0.2999999999999998,-2.0,1.0,2.0,-2.0,0.0,-2.0,1.2999999999999998,2.0,1.2999999999999998,1.0,2.0,-2.0,1.2999999999999998,-2.0,-2.0,0,1
29,1.0,1.0,1.0,1.0,2.0,-2.0,2.0,0.0,0.0,-2.0,-2.0,1.0,-2.0,1.7000000000000002,1.0,-0.30000000000000004,-2.0,0.2999999999999998,-2.0,-2.0,0,1
30,0.0,0.0,0.0,1.7000000000000002,2.0,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,0.0,0.7000000000000002,0.0,0.2999999999999998,-2.0,2.0,-2.0,-2.0,0,1
31,1.0,1.0,-2.0,1.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,0.7000000000000002,1.2999999999999998,2.0,1.0,1.0,-2.0,-0.30000000000000004,-2.0,-2.0,0,1
32,-2.0,0.0,2.0,2.0,-2.0,-2.0,0.2999999999999998,0.0,-2.0,-2.0,-2.0,0.2999999999999998,0.7000000000000002,1.0,1.2999999999999998,-0.30000000000000004,-2.0,-2.0,-2.0,-2.0,1,0
33,0.2999999999999998,1.2999999999999998,0.0,1.0,2.0,-2.0,1.7000000000000002,0.0,2.0,-2.0,-2.0,0.2999999999999998,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,0.2999999999999998,-2.0,-2.0,1,0
34,1.2999999999999998,1.0,1.0,1.0,1.0,-2.0,1.0,0.0,2.0,-2.0,-2.0,1.2999999999999998,1.0,0.7000000000000002,-0.30000000000000004,0.7000000000000002,-2.0,0.2999999999999998,0.7000000000000002,2.0,0,0
